emoji,emoji_name
"Awkward""",:E
Alien,(V)o￥o(V)
Amazed,!(^^)!
Amazed,(*_*)
Amazed,(*_*;
Amazed,(+_+)
Amazed,(@_@)
Amazed,(@_@。
Amazed,(＠_＠;)
Amazed,＼(◎o◎)／！
Angel,0:)
Angel,0:3
Angel,0:‑)
Angel,0:‑3
Angel,0;^)
Angel,O:)
Angel,O:‑)
Angry,>:(
Angry,>:[
Annoyed,:-/
Annoyed,:/
Annoyed,:L
Annoyed,:S
Annoyed,:\
Annoyed,:‑.
Annoyed,<(｀^´)>
Annoyed,=/
Annoyed,=L
Annoyed,=\
Annoyed,>:/
Annoyed,>:\
Apology,(__)
Apology,<(_ _)>
Apology,<m(__)m>
Apology,_(._.)_
Apology,_(_^_)_
Apology,m(_ _)m
Apology,m(__)m
Baby,(';')
Bat,⎛⎝(•ⱅ•)⎠⎞
Bat,◢▅◣
Bat,◥▅◤
Bat,～°·_·°～
Bear,ʕ ·(エ)· ʔ
Bear,ʕ – ㉨ – ʔ
Bear,ʕ •ᴥ•ʔ
Bear,⊂(￣(ｴ)￣)⊃
Being sick,:###..
Being sick,:‑###..
Bill Clinton,=:o]
Bomb,●～*
Broken heart,</3
Broken heart,<\3
Bubbles,.o○○o.
Calmness,(-_q)
Calmness,(p_-)
Calmness,ˊ＿>ˋ
Cat,(=^・^=)
Cat,(=^・・^=)
Cat,(=ʘᆽʘ=)∫
Cat,:-3
Cat,:3
Cat,=3
Cat,=^_^=
Cat,X3
Cat,x3
Cheerful,(*^^)v
Cheerful,(^^)v
Cheerful,(^_^)v
Cheerful,(´∀`)
Cheerful,(⌒▽⌒）
Cheerful,(・∀・)
Cheerful,(＾▽＾)
Cheerful,(＾ｖ＾)
Cheerful,（’-’*)
Chicken,~:>
Confused,%)
Confused,%‑)
Confused,((+_+))
Confused,(+o+)
Confused,(°-°)
Confused,(°.°)
Confused,(°_°)(°_°>)
Confused,(°°)
Confused,(°レ°)
Confusion,(・・?(?_?)
Cool,B-)
Cool,|;‑)
Cool,|‑O
Crying,( ༎ຶ ۝ ༎ຶ )
Crying,('_')
Crying,(/_;)
Crying,(:_;)
Crying,(;O;)
Crying,(;_:)
Crying,(;_;
Crying,(;_;)
Crying,(T_T)
Crying,(ToT)
Crying,(Ｔ▽Ｔ)
Crying,:'(
Crying,:'‑(
Crying,:=(
Crying,;-;
Crying,;;
Crying,;_;
Crying,;n;
Crying,Q.Q
Crying,QQ
Crying,Q_Q
Crying,T.T
Crying,TnT
Cup of tea,( ^^)_U
Cup of tea,~~( ^^)_旦~~
Cute,uwuUwU
Dancing,ᕕ( ᐛ )ᕗ
Darwin fish,Ӽd̲̅a̲̅r̲̅w̲̅i̲̅ɳ̲̅ᕗ
Darwin fish,ӽd̲̅a̲̅r̲̅w̲̅i̲̅ɳ̲̅ᕗ
Disbelief,"',:-l"
Disbelief,"',:-|"
Dissatisfied,(*￣m￣)
Distress,囧
Dollar notes,[̲̅$̲̅(̲̅1̲̅)̲̅$̲̅]
Dollar notes,[̲̅$̲̅(̲̅1̲̅0̲̅)̲̅$̲̅]
Dollar notes,[̲̅$̲̅(̲̅5̲̅)̲̅$̲̅]
Dollar notes,[̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅]
Dumb,<:‑|
Elvis Presley,5:‑)
Embarrassed,(⁄ ⁄•⁄ω⁄•⁄ ⁄)
Embarrassed,:$
Embarrassed,://)
Embarrassed,://3
Evil,3:)
Evil,3:‑)
Evil,;3
Evil,>:)
Evil,>:3
Evil,>:‑)
Evil,>;)
Evil,>;‑)
Evil,}:)
Evil,}:‑)
Evolution fish,Ӽe̲̅v̲̅o̲̅l̲̅u̲̅t̲̅i̲̅o̲̅ɳ̲̅ᕗ
Evolution fish,ӽe̲̅v̲̅o̲̅l̲̅u̲̅t̲̅i̲̅o̲̅ɳ̲̅ᕗ
Excited,(*^0^*)
Excited,ヽ(^o^)丿
Excited,ヽ(^。^)ノ
Excited,＼(-o-)／
Excited,＼(^o^)／
Excited,＼(~o~)／
Eyeglasses,(^0_0^)
Facepalm,(－‸ლ)
Fish,(°))<<>°))))彡<°)))彡>°))彡
Fish,<+))><<<*))>=<
Fish,>°)))彡(Q))><ヨヨ
Flower Girl,(◕‿◕✿)
Giggling with hand covering mouth,^m^
Grinning,(￣ー￣)
Happy,( ^)o(^ )
Happy,(*^▽^*)
Happy,(^O^)
Happy,(^o^)
Happy,(^○^)
Happy,(●＾o＾●)
Happy,(✿◠‿◠)
Happy,(＾◇＾)
Happy,(＾ｕ＾)
Happy,(＾ｖ＾)
Happy,)^o^(
Happy,8)
Happy,8-)
Happy,:)
Happy,:-))
Happy,:->
Happy,:-]
Happy,:-}
Happy,:>
Happy,:]
Happy,:^)
Happy,:c)
Happy,:o)
Happy,:}
Happy,:‑)
Happy,=)
Happy,=]
Heart,<3
Homer Simpson,~(_8^(I)
Hopeless,(^^ゞ
Hopeless,(~_~)
Hopeless,(~o~)
Hopeless,\(^o^)/
Hopeless,＼(^o^)／
Horror,D8
Horror,D:
Horror,D:<
Horror,D;
Horror,D=
Horror,DX
Horror,D‑':
Hugging,(づ￣ ³￣)づ
Infatuation,(*°∀°)=3
Infatuation,(*´▽｀*)
Jotting note,( ..)
Jotting note,(..)
Jotting note,φφ
Joyful,(/◕ヮ◕)/
Joyful,(^O^)／
Joyful,(^^)/
Joyful,(^_^)/
Joyful,(^o^)丿
Joyful,(^o^)／
Joyful,(°o°)
Joyful,(·ω·)
Joyful,(≧∇≦)/
Joyful,^_^
Joyful,^ω^
Joyful,∩(·ω·)∩
Kiss,(*^3^)/~☆
Kiss,(๑ˇεˇ๑)
Kiss,:*
Kiss,:-*
Kiss,:×
Laugh,(#^.^#)
Laugh,(*^.^*)
Laugh,(^.^)
Laugh,(^<^)
Laugh,(^J^)
Laugh,(^^)
Laugh,(^_^)
Laugh,(^_^.)
Laugh,(^·^)
Laugh,(^ム^)
Laugh,8D
Laugh,8‑D
Laugh,:D
Laugh,:‑D
Laugh,<^!^>
Laugh,=3
Laugh,=D
Laugh,>^_^<
Laugh,B^D
Laugh,C:
Laugh,XD
Laugh,X‑D
Laugh,^/^
Laugh,^_^
Laugh,c:
Laugh,xD
